cast_member,country_of_origin,director,original_language,publication_date,audience_average,audience_percent,audience_ratings,critic_average,critic_percent,oscars,awards,nominations,year,month,day,dayofweek,num_actors,action film,comedy film,crime film,drama film,horror film
18471,39,5703,19,1293840000,3.0,37.0,3939.0,3.9,17.0,0,0,0,2011,1,1,5,9,1,0,0,0,0
2840,45,3929,19,913334400,3.1,44.0,62635.0,5.8,55.0,3,8,0,1998,12,11,4,15,1,0,0,0,0
15954,8,5818,19,378691200,3.9,86.0,5071.0,8.1,100.0,1,3,0,1982,1,1,4,14,0,1,0,1,0
8078,45,7810,19,978307200,2.9,48.0,391915.0,5.1,45.0,3,6,0,2001,1,1,0,7,0,0,0,0,1
3617,45,6532,19,915148800,3.3,74.0,42833.0,6.1,62.0,5,0,0,1999,1,1,4,9,0,0,1,1,0
9727,45,7730,19,1287619200,3.0,42.0,75187.0,3.1,9.0,0,0,0,2010,10,21,3,21,0,0,0,0,1
4304,45,4192,19,694224000,3.3,62.0,2104.0,7.3,89.0,0,0,0,1992,1,1,2,10,0,0,1,1,0
18445,16,7309,20,315532800,3.8,76.0,779.0,5.2,60.0,0,0,0,1980,1,1,1,10,0,0,0,1,0
15185,45,1310,19,1167609600,2.8,33.0,6075.0,6.6,86.0,0,0,0,2007,1,1,0,11,0,0,0,0,1
18218,7,4809,19,1315180800,3.5,65.0,53934.0,7.8,83.0,3,35,93,2011,9,5,0,43,0,0,0,1,0
9575,45,494,19,725846400,2.7,32.0,20675.0,4.0,29.0,1,0,0,1993,1,1,4,12,1,0,0,1,0
18401,61,7622,20,1293840000,3.6,67.0,2182.0,6.9,81.0,0,0,0,2011,1,1,5,1,0,0,0,1,0
18657,45,368,19,-1167609600,3.6,80.0,3384.0,7.8,100.0,0,0,0,1933,1,1,6,14,0,0,0,1,0
6018,58,8000,63,978307200,2.7,21.0,682.0,4.8,40.0,0,0,0,2001,1,1,0,8,0,0,1,0,0
9488,13,711,19,1136073600,3.8,87.0,336690.0,5.9,51.0,5,4,0,2006,1,1,6,18,0,0,1,1,0
16055,61,7373,20,-1451692800,3.7,82.0,344.0,7.4,86.0,0,0,0,1924,1,1,1,6,0,0,0,1,1
903,45,5517,19,1190937600,3.5,69.0,406887.0,4.6,29.0,3,0,0,2007,9,28,4,16,0,1,0,0,0
10154,16,1185,19,978307200,2.9,43.0,49016.0,4.6,22.0,0,0,0,2001,1,1,0,10,1,0,0,0,1
4114,45,1651,19,567993600,4.0,91.0,5694.0,6.3,72.0,1,3,0,1988,1,1,4,4,0,0,0,1,0
10566,7,7759,13,1167609600,3.3,53.0,5003.0,5.4,55.0,0,0,0,2007,1,1,0,12,0,0,0,0,1
13588,7,5252,13,347155200,3.6,83.0,1095.0,7.3,100.0,0,0,0,1981,1,1,3,11,0,1,0,0,0
8302,45,3379,19,820454400,2.7,27.0,5853.0,3.5,12.0,0,0,0,1996,1,1,0,26,0,1,0,0,0
1894,45,3046,19,1047513600,3.2,65.0,130601.0,3.4,19.0,4,8,0,2003,3,13,3,14,0,0,0,0,1
4462,45,2673,19,662688000,2.6,25.0,5056.0,4.4,32.0,0,0,0,1991,1,1,1,4,0,1,0,0,0
6932,51,7309,83,-101174400,4.4,94.0,25627.0,9.1,89.0,0,0,0,1966,10,18,1,4,0,0,0,1,0
11787,45,3680,19,567993600,2.6,40.0,2795.0,2.4,0.0,0,0,0,1988,1,1,4,14,0,1,0,0,0
16565,8,7905,19,1072915200,2.9,39.0,31752.0,4.1,43.0,0,0,0,2004,1,1,3,6,0,0,0,0,1
17241,103,1055,97,757382400,4.0,92.0,14141.0,7.5,91.0,1,5,13,1994,1,1,5,3,0,1,0,1,0
18115,45,5917,19,1009843200,2.9,37.0,18472.0,3.0,3.0,4,0,0,2002,1,1,1,14,1,0,0,0,0
18192,45,5948,19,-347155200,3.7,82.0,8644.0,6.8,84.0,0,0,0,1959,1,1,3,19,0,1,0,0,0
13301,7,7871,13,1262304000,3.6,68.0,2032.0,5.9,56.0,1,0,0,2010,1,1,4,24,0,0,0,1,0
10482,45,2687,19,441763200,3.8,84.0,8241.0,7.4,85.0,0,0,0,1984,1,1,6,5,0,0,0,1,0
7434,7,5916,20,1220745600,3.6,80.0,15365.0,7.5,89.0,0,0,0,2008,9,7,6,8,0,0,0,1,0
6091,45,1462,19,1072915200,2.8,30.0,19105.0,2.9,1.0,1,0,0,2004,1,1,3,11,0,0,1,0,0
3958,45,5294,19,-1230768000,3.1,43.0,310.0,7.2,86.0,0,0,0,1931,1,1,3,20,0,0,0,1,0
1598,45,3239,19,1199145600,3.3,49.0,78510.0,5.1,35.0,0,0,0,2008,1,1,1,16,0,0,1,1,0
18966,7,5579,63,31536000,3.3,52.0,4107.0,6.3,79.0,0,0,0,1971,1,1,4,21,0,0,1,0,0
16642,16,6012,20,157766400,3.8,84.0,690.0,7.2,80.0,3,1,0,1975,1,1,2,20,0,0,1,1,0
4545,16,6859,19,1009843200,2.8,43.0,5573.0,5.0,60.0,0,0,0,2002,1,1,1,18,0,1,0,0,0
6794,7,4645,68,1104537600,3.6,71.0,5704.0,7.8,87.0,0,0,0,2005,1,1,5,2,0,0,0,1,0
17155,45,6315,19,-915148800,3.4,61.0,4734.0,6.7,65.0,0,0,0,1941,1,1,2,29,0,0,0,1,1
14765,107,890,95,1356393600,3.5,58.0,327.0,5.0,20.0,0,0,0,2012,12,25,1,4,0,0,0,1,0
3326,45,3146,19,1293840000,2.8,32.0,23389.0,4.0,16.0,2,2,0,2011,1,1,5,11,0,1,0,0,0
7904,45,2736,19,-410227200,2.8,34.0,1230.0,5.1,60.0,0,0,0,1957,1,1,1,6,0,0,0,0,1
18025,8,5454,19,1167609600,3.3,59.0,367950.0,5.1,35.0,1,5,29,2007,1,1,0,13,0,0,0,1,0
1376,45,6819,19,820454400,3.4,75.0,53521.0,5.4,50.0,0,0,0,1996,1,1,0,9,1,0,0,0,0
13014,45,4735,19,1167609600,3.2,53.0,339580.0,4.6,28.0,0,0,0,2007,1,1,0,16,1,0,0,0,0
354,7,4823,13,1157846400,4.1,91.0,5109.0,7.5,93.0,0,0,0,2006,9,10,6,8,0,0,0,1,0
1680,45,3358,19,283996800,3.9,88.0,9267.0,8.2,94.0,0,0,0,1979,1,1,0,10,0,1,0,0,0
14588,13,1075,19,1230768000,3.8,75.0,25509.0,6.7,66.0,11,5,0,2009,1,1,3,32,0,0,0,1,0
